record_id,user_id,device_id,device_name,gender,age,age_group,ear_side,concha_size,concha_length_mm,concha_width_mm,ear_canal_size,ear_protrusion,helix_shape,satisfaction_score,comfort_score,stability_score,tragus_pressure_relief_score,antitragus_pressure_relief_score,helix_pressure_relief_score,fit_result,original_sound_score,comments,photo_path
R001,U001,D01,入耳式-A,女,24,18-29,右耳,小,37.2,20.4,小,贴耳,平缓,8,7,8,6,10,10,适配,8,低频稍强但整体舒适,photos/U001/U001_ear.png
R002,U001,D02,半入耳式-B,女,24,18-29,右耳,小,37.2,20.4,小,贴耳,平缓,7,9,6,10,10,10,偏松,9,声音自然但跑步时容易松动,photos/U001/U001_ear.png
R003,U001,D03,运动耳挂式-C,女,24,18-29,右耳,小,37.2,20.4,小,贴耳,平缓,6,6,9,10,10,4,适配,7,稳定但耳挂有明显压感,photos/U001/U001_ear.png
R004,U002,D01,入耳式-A,男,31,30-39,右耳,大,45.8,27.6,大,外展,明显,9,8,9,10,10,10,适配,8,佩戴稳定且密封良好,photos/U002/U002_ear.png
R005,U002,D02,半入耳式-B,男,31,30-39,右耳,大,45.8,27.6,大,外展,明显,6,7,5,8,8,10,偏松,9,声音好但尺寸偏小,photos/U002/U002_ear.png
R006,U002,D03,运动耳挂式-C,男,31,30-39,右耳,大,45.8,27.6,大,外展,明显,8,8,10,10,10,8,适配,7,运动时最稳定,photos/U002/U002_ear.png
R007,U003,D01,入耳式-A,女,42,40-49,右耳,中,41.1,23.5,中,贴耳,卷曲,5,4,7,2,6,8,偏紧,7,耳屏挤压明显,photos/U003/U003_ear.png
R008,U003,D02,半入耳式-B,女,42,40-49,右耳,中,41.1,23.5,中,贴耳,卷曲,8,8,7,10,10,10,适配,8,长时间佩戴较舒适,photos/U003/U003_ear.png
R009,U003,D03,运动耳挂式-C,女,42,40-49,右耳,中,41.1,23.5,中,贴耳,卷曲,7,5,9,10,8,0,偏紧,7,稳定但耳轮压痛,photos/U003/U003_ear.png
R010,U004,D01,入耳式-A,男,27,18-29,右耳,中,40.4,24.1,小,外展,平缓,7,6,8,8,6,10,偏紧,8,需要更小号耳塞套,photos/U004/U004_ear.png
R011,U004,D02,半入耳式-B,男,27,18-29,右耳,中,40.4,24.1,小,外展,平缓,9,9,8,10,10,10,适配,9,整体体验最好,photos/U004/U004_ear.png
R012,U004,D03,运动耳挂式-C,男,27,18-29,右耳,中,40.4,24.1,小,外展,平缓,7,7,10,10,10,8,适配,8,稳定且可接受,photos/U004/U004_ear.png
R013,U005,D01,入耳式-A,女,36,30-39,右耳,大,46.3,28.0,中,外展,明显,8,7,9,8,10,10,适配,9,密封和音质表现好,photos/U005/U005_ear.png
R014,U005,D02,半入耳式-B,女,36,30-39,右耳,大,46.3,28.0,中,外展,明显,5,8,4,10,10,10,偏松,8,舒适但容易脱落,photos/U005/U005_ear.png
R015,U005,D03,运动耳挂式-C,女,36,30-39,右耳,大,46.3,28.0,中,外展,明显,8,7,10,10,10,8,适配,8,运动场景表现好,photos/U005/U005_ear.png
R016,U006,D01,入耳式-A,男,51,50-59,右耳,小,36.8,19.7,小,贴耳,卷曲,4,3,6,0,4,6,不适配,6,尺寸过大且挤压明显,photos/U006/U006_ear.png
R017,U006,D02,半入耳式-B,男,51,50-59,右耳,小,36.8,19.7,小,贴耳,卷曲,8,8,7,8,10,10,适配,8,轻便且没有明显压痛,photos/U006/U006_ear.png
R018,U006,D03,运动耳挂式-C,男,51,50-59,右耳,小,36.8,19.7,小,贴耳,卷曲,6,5,9,10,8,2,偏紧,7,稳定但不适合长时间佩戴,photos/U006/U006_ear.png
